0.000000 0.000000 -981.000066
100.000001 -98.100007 -1962.000132
200.000003 -294.300020 -2943.000317
300.000012 -588.600039 -3924.000263
400.000006 -981.000066 -4905.000210
500.000000 -1471.500158 -5886.000156
600.000024 -2060.100079 -6867.000103
700.000048 -2746.800184 -7848.000050
800.000072 -3531.600237 -8829.000473
900.000095 -4414.500237 -9810.000420
1000.000119 -5395.500183 -10791.000366
1100.000143 -6474.600315 -11772.000313
1200.000167 -7651.800156 -12753.000259
1300.000191 -8927.100182 -13734.000206
1400.000215 -10300.499916 -14715.000153
1500.000238 -11772.000313 -15696.000099
1600.000262 -13341.600418 -16677.000046
1700.000286 -15009.300232 -17658.000946
1800.000310 -16775.100708 -18639.001846
1900.000334 -18638.999939 -19620.002747
2000.000238 -20600.999832 -20601.003647
2100.000143 -22661.100388 -21582.004547
2200.000048 -24819.301605 -22563.005447
2299.999952 -27075.601578 -23544.006348
2399.999857 -29430.002213 -24525.007248
2499.999762 -31882.503510 -25506.008148
2599.999666 -34433.105469 -26487.009048
2699.999571 -37081.806183 -27468.009949
2799.999475 -39828.605652 -28449.010849
2899.999380 -42673.507690 -29430.011749
2999.999285 -45616.508484 -30411.012650
3099.999189 -48657.608032 -31392.013550
3199.999094 -51796.810150 -32373.012543
3299.998999 -55034.111023 -33354.011536
3399.998903 -58369.510651 -34335.010529
3499.998808 -61803.012848 -35316.009521
3599.998713 -65334.609985 -36297.008514
3699.998617 -68964.309692 -37278.007507
3799.998522 -72692.108154 -38259.006500
3899.998426 -76518.005371 -39240.005493
3999.998331 -80442.008972 -40221.004486
4099.998474 -84464.111328 -41202.003479
4199.998379 -88584.312439 -42183.002472
4299.998283 -92802.612305 -43164.001465
4399.998188 -97119.010925 -44145.000458
4499.998093 -101533.508301 -45125.999451
4599.997997 -106046.112061 -46106.998444
4699.997902 -110656.814575 -47087.997437
4799.997807 -115365.615845 -48068.996429
4899.997711 -120172.515869 -49049.995422
4999.997616 -125077.514648 -50030.994415
5099.997520 -130080.612183 -51011.993408
5199.997425 -135181.808472 -51992.992401
5299.997330 -140381.103516 -52973.991394
5399.997234 -145678.497314 -53954.990387
5499.997139 -151073.989868 -54935.989380
5599.997044 -156567.596436 -55916.988373
5699.996948 -162159.301758 -56897.987366
5799.996853 -167849.105835 -57878.986359
5899.996758 -173637.008667 -58859.985352
5999.996662 -179523.010254 -59840.984344
6099.996567 -185507.110596 -60821.983337
6199.996471 -191589.309692 -61802.982330
6299.996376 -197769.607544 -62783.981323
6399.996281 -204048.004150 -63764.980316
6499.996185 -210424.499512 -64745.979309
6599.996090 -216899.093628 -65726.982117
6699.995995 -223471.786499 -66707.984924
6799.995899 -230142.578125 -67688.987732
6899.995804 -236911.483765 -68669.990540
6999.995708 -243778.488159 -69650.993347
7099.995613 -250743.591309 -70631.996155
7199.995518 -257806.793213 -71612.998962
7299.995422 -264968.078613 -72594.001770
7399.995327 -272227.478027 -73575.004578
7499.995232 -279584.991455 -74556.007385
7599.995136 -287040.588379 -75537.010193
7699.995041 -294594.299316 -76518.013000
7799.994946 -302246.093750 -77499.015808
7899.994850 -309996.002197 -78480.018616
7999.994755 -317843.994141 -79461.021423
8099.994659 -325790.100098 -80442.024231
8199.995041 -333834.289551 -81423.027039
8299.995422 -341976.593018 -82404.029846
8399.995804 -350217.010498 -83385.032654
8499.996185 -358555.511475 -84366.035461
8599.996567 -366992.126465 -85347.038269
8699.996948 -375526.824951 -86328.041077
8799.997330 -384159.637451 -87309.043884
8899.997711 -392890.533447 -88290.046692
8999.998093 -401719.543457 -89271.049500
9099.998474 -410646.636963 -90252.052307
9199.998856 -419671.844482 -91233.055115
9299.999237 -428795.135498 -92214.057922
9399.999619 -438016.540527 -93195.060730
9500.000000 -447336.059570 -94176.063538
9600.000381 -456753.662109 -95157.066345
9700.000763 -466269.378662 -96138.069153
9800.001144 -475883.178711 -97119.071960
9900.001526 -485595.092773 -98100.074768
10000.001907 -495405.090332 -99081.077576
